,HFUEL,HHFAMINC,HOMEOWN,HHSIZE,YOUNGCHILD,HHVEHCNT,URBRUR,HTPPOPDN,PRICE,PLACE,R_AGE_IMP,R_SEX_IMP,EDUC,R_RACE,GT1JBLWK,OCCAT,CARSHARE,TIMETOWK,YEARMILE,VEHAGE
113812,0,4,0.0,1.0,0.0,1.0,1,2,2.0,2.0,40,1,3.0,1.0,0,4.0,0,45.0,30000.0,1.0
113836,0,5,1.0,3.0,0.0,4.0,1,2,4.0,4.0,54,0,2.0,1.0,0,2.0,0,15.0,4000.0,2.0
113848,0,4,1.0,2.0,0.0,4.0,0,3,2.0,4.0,35,0,3.0,1.0,0,4.0,0,30.0,35000.0,2.0
113866,0,5,1.0,2.0,0.0,4.0,1,4,2.0,2.0,45,1,4.0,1.0,0,1.0,0,10.0,10000.0,2.0
113874,0,3,1.0,2.0,0.0,2.0,1,5,1.0,1.0,23,0,3.0,1.0,1,1.0,0,3.0,4000.0,1.0
113897,0,5,1.0,2.0,0.0,3.0,1,5,3.0,3.0,36,1,4.0,1.0,0,4.0,0,50.0,13000.0,2.0
113934,0,1,1.0,2.0,0.0,2.0,1,1,4.0,3.0,45,1,2.0,2.0,0,3.0,0,15.0,1500.0,2.0
113981,1,4,1.0,1.0,0.0,1.0,0,6,3.0,4.0,25,1,3.0,1.0,0,1.0,0,15.0,2000.0,2.0
114001,0,5,1.0,1.0,0.0,1.0,1,1,3.0,3.0,59,1,5.0,4.0,1,4.0,0,4.0,30000.0,1.0
114013,0,3,1.0,4.0,0.0,2.0,1,6,2.0,3.0,30,1,2.0,1.0,0,1.0,0,25.0,5000.0,2.0
114014,0,3,0.0,1.0,0.0,2.0,1,1,3.0,3.0,59,1,4.0,1.0,0,4.0,0,20.0,100.0,2.0
114018,0,2,1.0,2.0,0.0,1.0,1,1,1.0,2.0,34,1,5.0,2.0,1,4.0,0,15.0,7900.0,2.0
114040,0,4,1.0,2.0,0.0,3.0,1,5,1.0,1.0,56,1,2.0,1.0,0,3.0,0,5.0,3650.0,1.0
114048,0,5,0.0,2.0,0.0,1.0,0,6,2.0,4.0,43,1,4.0,1.0,0,4.0,0,5.0,13200.0,3.0
114049,0,5,0.0,2.0,0.0,3.0,0,6,1.0,2.0,36,0,4.0,1.0,0,1.0,0,10.0,12000.0,2.0
114055,0,5,1.0,3.0,0.0,7.0,1,5,3.0,3.0,64,1,3.0,1.0,0,4.0,0,10.0,17000.0,3.0
114060,0,5,1.0,2.0,0.0,2.0,0,5,5.0,3.0,46,0,4.0,1.0,0,4.0,0,2.0,8000.0,1.0
114089,0,1,1.0,7.0,0.0,3.0,1,1,2.0,2.0,53,0,4.0,1.0,0,2.0,0,12.0,8000.0,3.0
114093,0,5,1.0,3.0,0.0,2.0,1,2,3.0,4.0,38,0,3.0,1.0,0,2.0,0,8.0,8000.0,2.0
114097,0,3,1.0,2.0,0.0,4.0,0,3,2.0,2.0,50,0,3.0,1.0,0,4.0,0,26.0,12000.0,1.0
114102,0,2,0.0,1.0,0.0,1.0,0,2,2.0,2.0,21,0,5.0,1.0,0,1.0,0,12.0,5000.0,3.0
114109,0,3,1.0,3.0,1.0,2.0,1,6,5.0,5.0,27,1,3.0,1.0,1,3.0,0,45.0,30000.0,1.0
114114,0,2,1.0,1.0,0.0,1.0,1,1,4.0,2.0,60,1,5.0,1.0,0,1.0,0,18.0,8000.0,2.0
114132,0,2,1.0,1.0,0.0,2.0,1,5,4.0,2.0,39,1,2.0,1.0,0,1.0,0,120.0,10000.0,2.0
114138,0,3,1.0,1.0,0.0,1.0,0,5,3.0,3.0,39,1,3.0,1.0,0,1.0,0,45.0,6000.0,3.0
114180,0,2,1.0,1.0,0.0,1.0,1,3,5.0,4.0,66,0,3.0,7.0,1,1.0,0,13.0,10000.0,1.0
114183,0,3,0.0,1.0,0.0,0.0,1,1,4.0,2.0,44,1,2.0,1.0,0,3.0,0,25.0,15000.0,1.0
114204,0,1,1.0,3.0,0.0,2.0,1,7,2.0,4.0,62,0,4.0,1.0,0,4.0,0,10.0,14000.0,2.0
114214,0,3,1.0,4.0,0.0,3.0,0,1,3.0,4.0,56,0,3.0,1.0,0,4.0,0,18.0,18000.0,2.0
114236,0,3,1.0,4.0,0.0,3.0,1,2,5.0,3.0,60,1,2.0,2.0,0,4.0,0,25.0,7500.0,3.0
114272,0,5,0.0,3.0,0.0,2.0,1,6,5.0,4.0,60,0,4.0,3.0,0,2.0,0,40.0,12000.0,2.0
114302,0,5,1.0,2.0,0.0,2.0,0,4,3.0,3.0,54,0,5.0,3.0,0,4.0,0,5.0,9000.0,3.0
